id,time,user,msg
0,13:31:09,ligoligo12,@TJTestRegister, p1+
2,13:31:11,ligoligo12,@TJTestRegister, p2-
3,13:31:12,ligoligo12,@TJTestRegister, p1+
4,13:31:13,ligoligo12,@TJTestRegister, p2-
6,13:31:15,ligoligo12,@TJTestRegister, p1+
7,13:31:16,ligoligo12,@TJTestRegister, p2-
11,13:31:21,ligoligo12,@TJTestRegister, p1+
13,13:31:22,ligoligo12,@TJTestRegister, p2-
13,13:31:23,ligoligo12,@TJTestRegister, p1+
14,13:31:23,ligoligo12,@TJTestRegister, p2-
2833,14:18:37,ligoligo12,@TJTestRegister, p2+
2841,14:18:45,ligoligo12,@TJTestRegister, p1-
2842,14:18:46,ligoligo12,@TJTestRegister, p2+
2849,14:18:52,ligoligo12,@TJTestRegister, p2+
2854,14:18:58,ligoligo12,@TJTestRegister, p2+
2855,14:18:59,ligoligo12,@TJTestRegister, p2+
2855,14:18:59,ligoligo12,@TJTestRegister, p2+
2856,14:18:59,ligoligo12,@TJTestRegister, p2+
2856,14:19:00,ligoligo12,@TJTestRegister, p2+
2856,14:19:00,ligoligo12,@TJTestRegister, p2+
2857,14:19:01,ligoligo12,@TJTestRegister, p2+
2857,14:19:01,ligoligo12,@TJTestRegister, p2+
2858,14:19:01,ligoligo12,@TJTestRegister, p2+
2858,14:19:01,ligoligo12,@TJTestRegister, p2+
