id,time,user,msg
0,20:28:28,@TJtestBOT, p2+
27,20:28:55,@TJtestBOT, p2+
30,20:28:58,@TJtestBOT, p1-
33,20:29:01,@TJtestBOT, p2+
36,20:29:04,@TJtestBOT, p1-
44,20:29:12,@TJtestBOT, p2+
52,20:29:20,@TJtestBOT, p2+
54,20:29:22,@TJtestBOT, p1-
71,20:29:39,@TJtestBOT, p1+
74,20:29:42,@TJtestBOT, p2-
86,20:29:54,@TJtestBOT, p1+
104,20:30:12,ligoligo12,@TJtestBOT, p1+
106,20:30:14,ligoligo12,@TJtestBOT, p1+
107,20:30:16,ligoligo12,@TJtestBOT, p1+
108,20:30:17,ligoligo12,@TJtestBOT, p1+
111,20:30:19,ligoligo12,@TJtestBOT, p1+
112,20:30:20,ligoligo12,@TJtestBOT, p1+
114,20:30:22,ligoligo12,@TJtestBOT, p1+
116,20:30:24,ligoligo12,@TJtestBOT, p1+
117,20:30:25,ligoligo12,@TJtestBOT, p1+
119,20:30:27,ligoligo12,@TJtestBOT, p1+
120,20:30:28,ligoligo12,@TJtestBOT, p1+
122,20:30:30,ligoligo12,@TJtestBOT, p1+
124,20:30:32,ligoligo12,@TJtestBOT, p1+
124,20:30:32,ligoligo12,@TJtestBOT, p1+
124,20:30:33,ligoligo12,@TJtestBOT, p1+
124,20:30:33,ligoligo12,@TJtestBOT, p1+
125,20:30:33,ligoligo12,@TJtestBOT, p1+
125,20:30:33,ligoligo12,@TJtestBOT, p1+
125,20:30:33,ligoligo12,@TJtestBOT, p1+
125,20:30:33,ligoligo12,@TJtestBOT, p1+
125,20:30:34,ligoligo12,@TJtestBOT, p1+
125,20:30:34,ligoligo12,@TJtestBOT, p1+
126,20:30:34,ligoligo12,@TJtestBOT, p1+
126,20:30:34,ligoligo12,@TJtestBOT, p1+
126,20:30:34,ligoligo12,@TJtestBOT, p1+
126,20:30:34,ligoligo12,@TJtestBOT, p1+
126,20:30:35,ligoligo12,@TJtestBOT, p1+
126,20:30:35,ligoligo12,@TJtestBOT, p1+
127,20:30:35,ligoligo12,@TJtestBOT, p1+
127,20:30:35,ligoligo12,@TJtestBOT, p1+
127,20:30:35,ligoligo12,@TJtestBOT, p1+
127,20:30:36,ligoligo12,@TJtestBOT, p1+
127,20:30:36,ligoligo12,@TJtestBOT, p1+
128,20:30:36,ligoligo12,@TJtestBOT, p1+
128,20:30:36,ligoligo12,@TJtestBOT, p1+
128,20:30:36,ligoligo12,@TJtestBOT, p1+
128,20:30:37,ligoligo12,@TJtestBOT, p1+
128,20:30:37,ligoligo12,@TJtestBOT, p1+
129,20:30:37,ligoligo12,@TJtestBOT, p1+
129,20:30:37,ligoligo12,@TJtestBOT, p1+
129,20:30:37,ligoligo12,@TJtestBOT, p1+
129,20:30:38,ligoligo12,@TJtestBOT, p1+
129,20:30:38,ligoligo12,@TJtestBOT, p1+
130,20:30:38,ligoligo12,@TJtestBOT, p1+
130,20:30:38,ligoligo12,@TJtestBOT, p1+
130,20:30:38,ligoligo12,@TJtestBOT, p1+
130,20:30:39,ligoligo12,@TJtestBOT, p1+
130,20:30:39,ligoligo12,@TJtestBOT, p1+
131,20:30:39,ligoligo12,@TJtestBOT, p1+
131,20:30:39,ligoligo12,@TJtestBOT, p1+
131,20:30:39,ligoligo12,@TJtestBOT, p1+
131,20:30:40,ligoligo12,@TJtestBOT, p1+
131,20:30:40,ligoligo12,@TJtestBOT, p1+
132,20:30:40,ligoligo12,@TJtestBOT, p1+
132,20:30:40,ligoligo12,@TJtestBOT, p1+
132,20:30:40,ligoligo12,@TJtestBOT, p1+
132,20:30:41,ligoligo12,@TJtestBOT, p1+
132,20:30:41,ligoligo12,@TJtestBOT, p1+
133,20:30:41,ligoligo12,@TJtestBOT, p1+
133,20:30:41,ligoligo12,@TJtestBOT, p1+
133,20:30:41,ligoligo12,@TJtestBOT, p1+
133,20:30:42,ligoligo12,@TJtestBOT, p1+
134,20:30:42,ligoligo12,@TJtestBOT, p1+
134,20:30:42,ligoligo12,@TJtestBOT, p1+
134,20:30:42,ligoligo12,@TJtestBOT, p1+
134,20:30:42,ligoligo12,@TJtestBOT, p1+
134,20:30:43,ligoligo12,@TJtestBOT, p1+
134,20:30:43,ligoligo12,@TJtestBOT, p1+
135,20:30:43,ligoligo12,@TJtestBOT, p1+
135,20:30:43,ligoligo12,@TJtestBOT, p1+
135,20:30:44,ligoligo12,@TJtestBOT, p1+
135,20:30:44,ligoligo12,@TJtestBOT, p1+
136,20:30:44,ligoligo12,@TJtestBOT, p1+
136,20:30:44,ligoligo12,@TJtestBOT, p1+
136,20:30:44,ligoligo12,@TJtestBOT, p1+
136,20:30:44,ligoligo12,@TJtestBOT, p1+
136,20:30:45,ligoligo12,@TJtestBOT, p1+
136,20:30:45,ligoligo12,@TJtestBOT, p1+
137,20:30:45,ligoligo12,@TJtestBOT, p1+
137,20:30:45,ligoligo12,@TJtestBOT, p1+
137,20:30:45,ligoligo12,@TJtestBOT, p1+
137,20:30:46,ligoligo12,@TJtestBOT, p1+
137,20:30:46,ligoligo12,@TJtestBOT, p1+
138,20:30:46,ligoligo12,@TJtestBOT, p1+
139,20:30:47,ligoligo12,@TJtestBOT, p2-
139,20:30:47,ligoligo12,@TJtestBOT, p2-
139,20:30:48,ligoligo12,@TJtestBOT, p2-
139,20:30:48,ligoligo12,@TJtestBOT, p2-
140,20:30:48,ligoligo12,@TJtestBOT, p2-
140,20:30:48,ligoligo12,@TJtestBOT, p2-
140,20:30:48,ligoligo12,@TJtestBOT, p2-
140,20:30:49,ligoligo12,@TJtestBOT, p2-
140,20:30:49,ligoligo12,@TJtestBOT, p2-
141,20:30:49,ligoligo12,@TJtestBOT, p2-
141,20:30:49,ligoligo12,@TJtestBOT, p2-
141,20:30:49,ligoligo12,@TJtestBOT, p2-
141,20:30:50,ligoligo12,@TJtestBOT, p2-
141,20:30:50,ligoligo12,@TJtestBOT, p2-
142,20:30:50,ligoligo12,@TJtestBOT, p2-
142,20:30:50,ligoligo12,@TJtestBOT, p2-
142,20:30:50,ligoligo12,@TJtestBOT, p2-
142,20:30:51,ligoligo12,@TJtestBOT, p2-
142,20:30:51,ligoligo12,@TJtestBOT, p2-
142,20:30:51,ligoligo12,@TJtestBOT, p2-
143,20:30:51,ligoligo12,@TJtestBOT, p2-
143,20:30:51,ligoligo12,@TJtestBOT, p2-
143,20:30:51,ligoligo12,@TJtestBOT, p2-
143,20:30:52,ligoligo12,@TJtestBOT, p2-
144,20:30:52,ligoligo12,@TJtestBOT, p2-
144,20:30:52,ligoligo12,@TJtestBOT, p2-
144,20:30:52,ligoligo12,@TJtestBOT, p2-
144,20:30:52,ligoligo12,@TJtestBOT, p2-
144,20:30:53,ligoligo12,@TJtestBOT, p2-
