id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,12:54:06,-1,1,0,1,1,1,0,1,-1,253,348
1,12:54:07,-1,1,0,1,1,1,0,1,-1,253,348
2,12:54:08,-1,2,0,2,1,1,0,1,-1,218,348
3,12:54:09,-1,2,0,2,1,1,0,1,-1,218,328
4,12:54:10,-1,2,0,2,1,1,0,1,-1,218,328
5,12:54:11,-1,1,0,1,1,1,0,1,-1,183,328
6,12:54:12,-1,1,0,1,1,1,0,1,-1,183,328
7,12:54:13,-1,1,0,1,1,1,0,1,-1,183,328
8,12:54:14,-1,1,0,1,2,2,0,1,-1,183,328
9,12:54:15,-1,1,0,1,2,2,0,1,-1,183,320
10,12:54:16,-1,1,0,1,2,2,0,1,-1,183,320
11,12:54:17,-1,1,0,1,1,1,0,1,-1,163,320
12,12:54:18,-1,1,0,1,1,1,0,1,-1,163,200
13,12:54:19,-1,1,0,1,1,1,0,1,-1,163,200
14,12:54:20,-1,2,0,2,1,1,0,1,-1,151,200
15,12:54:21,-1,2,0,2,1,1,0,1,-1,151,200
16,12:54:22,-1,2,0,2,1,1,0,1,-1,151,200
17,12:54:23,-1,1,0,1,1,1,0,1,-1,151,200
18,12:54:24,-1,1,0,1,1,1,0,1,-1,151,200
19,12:54:25,-1,1,0,1,1,1,0,1,-1,151,200
20,12:54:26,-1,1,0,1,1,1,0,1,-1,21,200
21,12:54:27,0,0,0,0,0,0,0,0,0,21,180
22,12:54:28,-1,0,0,0,1,1,0,1,-1,21,180
23,12:54:29,-1,1,0,1,1,1,0,1,-1,21,180
24,12:54:30,-1,1,0,1,2,2,0,1,-1,21,180
25,12:54:31,-1,1,0,1,3,3,0,1,-1,21,180
26,12:54:32,-1,1,0,1,3,3,0,1,-1,21,180
27,12:54:33,0,0,0,0,0,0,0,0,0,400,400
28,12:54:34,-1,1,0,1,0,0,0,1,-1,400,400
29,12:54:35,-1,1,0,1,1,1,0,1,-1,400,385
30,12:54:36,-1,2,0,2,1,1,0,1,-1,392,385
31,12:54:37,-1,2,0,2,2,2,0,1,-1,392,385
32,12:54:38,-1,2,0,2,2,2,0,1,-1,392,373
33,12:54:39,-1,2,0,2,2,2,0,1,-1,380,373
34,12:54:40,-1,2,0,2,2,2,0,1,-1,380,373
35,12:54:41,-1,2,0,2,2,2,0,1,-1,380,373
36,12:54:42,-1,2,0,2,2,2,0,1,-1,380,373
37,12:54:43,-1,2,0,2,2,2,0,1,-1,380,373
38,12:54:44,-1,2,0,2,2,2,0,1,-1,380,368
39,12:54:45,-1,2,0,2,2,2,0,1,-1,380,368
40,12:54:46,-1,2,0,2,2,2,0,1,-1,380,368
41,12:54:47,-1,2,0,2,2,2,0,1,-1,380,368
42,12:54:48,-1,2,0,2,2,2,0,1,-1,367,368
43,12:54:49,-1,1,0,1,2,2,0,1,-1,367,368
44,12:54:50,-1,1,0,1,1,1,0,1,-1,367,358
45,12:54:51,0,1,1,0,1,1,0,0,0,367,358
46,12:54:52,1,1,1,0,1,0,1,-1,1,367,358
47,12:54:53,1,1,1,0,1,0,1,-1,1,367,358
48,12:54:54,1,1,1,0,1,0,1,-1,1,357,358
49,12:54:55,1,1,1,0,1,0,1,-1,1,357,358
50,12:54:56,1,1,1,0,1,0,1,-1,1,357,358
